id,Fecha,Dia_Semana,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G017,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G017,"Ctra N240 Km,71","BORGES BLANQUES, LES",25400,E.S. bon¿rea Borges G017,41.53298,0.84249,41∞ 31' 58'',0∞ 50' 32'',,1,,,,,1.04,1.181,,0.35
G018,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G018,Pol.Ind.Pont Cremat Parcela 2,ARBUCIES,17401,E.S. bon¿rea Arb˙cies G018,41.81048,2.531533,41∞ 48' 37'',2∞ 31' 53'',1,,,,,1,1.038,1.179,,
G019,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G019,Carretera LV-3003,TORA,25750,E.S. bon¿rea Tor‡ G019,41.807665,1.403707,41∞ 48' 27'',1∞ 24' 13'',1,1,,,,1,1.038,1.178,,0.35
G020,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G020,"Ctra C14 KM 82,6",PALAU DE NOGUERA,25633,E.S. bon¿rea Palau de Noguera G020,42.147299,0.89343,42∞ 08' 50'',0∞ 53' 36'',1,1,,,,1,1.042,1.182,,
G021,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G021,"Av Urgell, S/N",CERVERA,25200,E.S. bon¿rea Cervera G021,41.67326,1.263621,41∞ 40' 23'',1∞ 15' 49'',1,1,,,,1,1.038,1.178,,0.35
G022,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G022,"POLIGON INDUSTRIAL CAMPLLONG, C/ MISTRAL, 19",BALAGUER,25600,E.S. bon¿rea Balaguer G022,41.775252,0.818789,41∞ 46' 30'',0∞ 49' 07'',1,1,,,,,1.039,1.18,,0.35
G024,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G024,"Crta L800 Km 1,85",ALCARRAS,25180,E.S. bon¿rea Alcarr‡s G024,41.57762,0.51669,41∞ 34' 39'',0∞ 31' 00'',1,1,,1,,,1.041,1.182,,
G025,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G025,"Pg Industrial les Eres, Parcela 7","ESPLUGA DE FRANCOLI, L'",43440,E.S. bon¿rea Espluga de FrancolÌ G025,41.40298,1.10438,41∞ 24' 10'',1∞ 06' 15'',1,1,,1,,,1.038,1.179,,
G026,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G026,"C/MATARO,CANTONADA SOT DELS PRADALS",VIC,8500,E.S. bon¿rea Vic G026,41.93972,2.24909,41∞ 56' 22'',2∞ 14' 56'',1,,,1,,,1.038,1.179,,0.35
G027,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G027,Pol.Ind ELS SALACONS P A1/A4,SORT,25560,E.S. bon¿rea Sort G027,42.409381,1.130549,42∞ 24' 33'',1∞ 07' 49'',1,1,,,,1,1.043,1.184,,
G028,23-03-21,Tuesday,BENZINERA,https://www.bonarea.com/benzinera/G028,CRTA C-12 CRUILLA C-233,FLIX,43750,E.S. bon¿rea Flix G028,41.23952,0.55105,41∞ 14' 22'',0∞ 33' 03'',1,1,,1,,,1.042,1.183,,0.35
