id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
G034,BENZINERA,https://www.bonarea.com/benzinera/G034,"POLIGONO INDUSTRIAL SUB 7 BIS,PARCELA 2",FRAGA,22520,E.S. bonÀrea Fraga G034,41.525054,0.367624,41° 31' 30'',0° 22' 03'',1,1,,,,
G035,BENZINERA,https://www.bonarea.com/benzinera/G035,"C/EUGENIO DE USANDIZAGA,38",MONZON,22400,E.S. bonÀrea Monzón G035,41.918749,0.186993,41° 55' 07'',0° 11' 13'',1,1,,,,
G036,BENZINERA,https://www.bonarea.com/benzinera/G036,"CRTA D'ARTESA A TREMP,KM 51",VILAMITJANA,25620,E.S. bonÀrea Vilamitjana G036,42.141187,0.929836,42° 08' 28'',0° 55' 47'',1,1,,,,
G037,BENZINERA,https://www.bonarea.com/benzinera/G037,POL.IND. CAN TRIAS,VILADECAVALLS,08232,E.S. bonÀrea Viladecavalls G037,41.562567,1.979034,41° 33' 45'',1° 58' 44'',1,1,,,,
G038,BENZINERA,https://www.bonarea.com/benzinera/G038,P. I. les Gavarreres Avda. Madrid 38-44,ODENA,08711,E.S. bonÀrea Odena G038,41.577437,1.656985,41° 34' 38'',1° 39' 25'',1,1,,1,1,
G039,BENZINERA,https://www.bonarea.com/benzinera/G039,AVDA. DE LA RAPITA 226,AMPOSTA,43870,E.S. bonÀrea Amposta G039,40.698883,0.579255,40° 41' 55'',0° 34' 45'',1,1,,1,,
G041,BENZINERA,https://www.bonarea.com/benzinera/G041,CL SOTA EL BARRI DE LA CREU SANT PERE,JORBA,08719,E.S. bonÀrea Jorba G041,41.602843,1.539901,41° 36' 10'',1° 32' 23'',1,1,1,1,1,
G042,BENZINERA,https://www.bonarea.com/benzinera/G042,"AV.BERTRAN GUEL,17",GAVA,08850,E.S. bonÀrea Gavà G042,41.299974,2.008942,41° 17' 59'',2° 00' 32'',1,1,,,,1
G043,BENZINERA,https://www.bonarea.com/benzinera/G043,"Ptda. Santa Llúcia, Parcela 1",SOLSONA,25280,E.S. bonÀrea Solsona G043,41.985462,1.550053,41° 59' 07'',1° 33' 00'',1,1,,1,1,
G044,BENZINERA,https://www.bonarea.com/benzinera/G044,"Polig. Ind Les Tapies II, pacel. 6A","HOSPITALET DE L'INFANT, L'",43890,E.S. bonÀrea Hospitalet de l'Infant G044,41.007028,0.911,41° 00' 25'',0° 54' 39'',1,1,,,,
