id,type,url,Fecha,Dia_Semana,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G029,BENZINERA,https://www.bonarea.com/benzinera/G029,23-03-21,2,"Pol.Id. Plans de Jort,c/Lleida,parcela 4",MONTBLANC,43400,E.S. bon¿rea Montblanc G029,41.386742,1.156869,41∞ 23' 12'',1∞ 09' 24'',1,,,1,,,1.048,"1,188",,
G030,BENZINERA,https://www.bonarea.com/benzinera/G030,23-03-21,2,"PG Ind. Els Colomers, C/ Lleida, 35",GOLMES,25241,E.S. bon¿rea GolmÈs G030,41.63032,0.91403,41∞ 37' 49'',0∞ 54' 50'',1,1,,,,,1.049,"1,188",,
G031,BENZINERA,https://www.bonarea.com/benzinera/G031,23-03-21,2,"Pg.Ind.Camins Nou,Parc.1",MORA D'EBRE,43740,E.S. bon¿rea MÛra d'Ebre G031,41.084624,0.626256,41∞ 05' 04'',0∞ 37' 34'',1,1,,1,,,1.051,"1,190",,"0,350"
G032,BENZINERA,https://www.bonarea.com/benzinera/G032,23-03-21,2,Ctra N-240 Km 133,BINEFAR,22500,E.S. bon¿rea BinÈfar G032,41.85528,0.28294,41∞ 51' 19'',0∞ 16' 58'',1,1,,1,,,1.052,"1,192",,"0,350"
G033,BENZINERA,https://www.bonarea.com/benzinera/G033,23-03-21,2,"Pol. Ind. de Torrefarrera,C/Marinada S/N",TORREFARRERA,25123,E.S. bon¿rea Torrefarrera G033,41.664056,0.604624,41∞ 39' 50'',0∞ 36' 16'',1,1,1,1,1,,1.050,"1,189","1,219","0,350"
G034,BENZINERA,https://www.bonarea.com/benzinera/G034,23-03-21,2,"POLIGONO INDUSTRIAL SUB 7 BIS,PARCELA 2",FRAGA,22520,E.S. bon¿rea Fraga G034,41.525054,0.367624,41∞ 31' 30'',0∞ 22' 03'',1,1,,,,,1.051,"1,191",,"0,350"
G035,BENZINERA,https://www.bonarea.com/benzinera/G035,23-03-21,2,"C/EUGENIO DE USANDIZAGA,38",MONZON,22400,E.S. bon¿rea MonzÛn G035,41.918749,0.186993,41∞ 55' 07'',0∞ 11' 13'',1,1,,,,,1.052,"1,192",,"0,350"
G036,BENZINERA,https://www.bonarea.com/benzinera/G036,23-03-21,2,"CRTA D'ARTESA A TREMP,KM 51",VILAMITJANA,25620,E.S. bon¿rea Vilamitjana G036,42.141187,0.929836,42∞ 08' 28'',0∞ 55' 47'',1,1,,,,,1.051,"1,191",,"0,350"
G037,BENZINERA,https://www.bonarea.com/benzinera/G037,23-03-21,2,POL.IND. CAN TRIAS,VILADECAVALLS,8232,E.S. bon¿rea Viladecavalls G037,41.562567,1.979034,41∞ 33' 45'',1∞ 58' 44'',1,1,,,,,1.045,"1,184",,"0,350"
G038,BENZINERA,https://www.bonarea.com/benzinera/G038,23-03-21,2,P. I. les Gavarreres Avda. Madrid 38-44,ODENA,8711,E.S. bon¿rea Odena G038,41.577437,1.656985,41∞ 34' 38'',1∞ 39' 25'',1,1,,1,1,,1.045,"1,185",,"0,350"
G039,BENZINERA,https://www.bonarea.com/benzinera/G039,23-03-21,2,AVDA. DE LA RAPITA 226,AMPOSTA,43870,E.S. bon¿rea Amposta G039,40.698883,0.579255,40∞ 41' 55'',0∞ 34' 45'',1,1,,1,,,1.051,"1,190",,"0,350"
G041,BENZINERA,https://www.bonarea.com/benzinera/G041,23-03-21,2,CL SOTA EL BARRI DE LA CREU SANT PERE,JORBA,8719,E.S. bon¿rea Jorba G041,41.602843,1.539901,41∞ 36' 10'',1∞ 32' 23'',1,1,1,1,1,,1.046,"1,186","1,215","0,350"
G042,BENZINERA,https://www.bonarea.com/benzinera/G042,23-03-21,2,"AV.BERTRAN GUEL,17",GAVA,8850,E.S. bon¿rea Gav‡ G042,41.299974,2.008942,41∞ 17' 59'',2∞ 00' 32'',1,1,,,,1,1.044,"1,183","1,213","0,350"
G043,BENZINERA,https://www.bonarea.com/benzinera/G043,23-03-21,2,"Ptda. Santa Ll˙cia, Parcela 1",SOLSONA,25280,E.S. bon¿rea Solsona G043,41.985462,1.550053,41∞ 59' 07'',1∞ 33' 00'',1,1,,1,1,,1.048,"1,188",,"0,350"
G044,BENZINERA,https://www.bonarea.com/benzinera/G044,23-03-21,2,"Polig. Ind Les Tapies II, pacel. 6A","HOSPITALET DE L'INFANT, L'",43890,E.S. bon¿rea Hospitalet de l'Infant G044,41.007028,0.911,41∞ 00' 25'',0∞ 54' 39'',1,1,,,,,1.049,"1,189",,"0,350"
G045,BENZINERA,https://www.bonarea.com/benzinera/G045,23-03-21,2,"CTRA DE RIUDOMS,KM 2,2",REUS,43206,E.S. bon¿rea Reus G045,41.145601,1.085197,41∞ 08' 44'',1∞ 05' 06'',1,1,1,,1,,1.048,"1,188",,"0,350"
G046,BENZINERA,https://www.bonarea.com/benzinera/G046,23-03-21,2,Autovia A-2 KM. 311,ZARAGOZA,50010,E.S. bon¿rea Zaragoza G046,41.63273,-0.983963,41∞ 37' 57'',-0∞ 59' 02'',1,1,,,,,1.056,"1,196",,"0,350"
G047,BENZINERA,https://www.bonarea.com/benzinera/G047,23-03-21,2,"Poligon Ind. La Pedrosa, pacel. 5",MASQUEFA,8783,E.S. bonArea Masquefa G047,41.499528,1.822028,41∞ 29' 58'',1∞ 49' 19'',1,1,,,,,1.045,"1,184",,"0,350"
G048,BENZINERA,https://www.bonarea.com/benzinera/G048,23-03-21,2,Carretera del Mig 146,"HOSPITALET DE LLOBREGAT, L'",8907,E.S. bon¿rea L'Hospitalet de Llobregat G048,41.353884,2.103526,41∞ 21' 13'',2∞ 06' 12'',1,1,,,,,1.043,"1,183",,"0,350"
G049,BENZINERA,https://www.bonarea.com/benzinera/G049,23-03-21,2,"Carrer Estiu, 18-20",BADALONA,8918,E.S. bon¿rea Badalona G049,41.430277,2.2273888,41∞ 25' 48'',2∞ 13' 38'',1,1,,1,,,1.043,"1,183",,"0,350"
G051,BENZINERA,https://www.bonarea.com/benzinera/G051,23-03-21,2,CL. DINAMARCA S/N,UTEBO,50180,E.S. bon¿rea Utebo G051,41.710885,-1.019607,41∞ 42' 39'',-1∞ 01' 10'',1,1,,1,,,1.056,"1,196",,"0,350"
G052,BENZINERA,https://www.bonarea.com/benzinera/G052,23-03-21,2,"CL. SALLENT, 50",MANRESA,8240,E.S. bon¿rea Manresa G052,41.737297,1.841842,41∞ 44' 14'',1∞ 50' 30'',1,1,,1,1,,1.046,"1,185",,"0,350"
G053,BENZINERA,https://www.bonarea.com/benzinera/G053,23-03-21,2,"CARRETERA BV-2005 KM4,7",TORRELLES DE LLOBREGAT,8629,E.S. bon¿rea Torrelles G053,41.365572,1.98513,41∞ 21' 56'',1∞ 59' 06'',1,1,,,,,1.044,"1,183",,"0,350"
G054,BENZINERA,https://www.bonarea.com/benzinera/G054,23-03-21,2,"Avda. Barcelona, 26",TARREGA,25300,E.S. bonArea T‡rrega G054,41.6524972,1.149708333,41∞ 39' 08'',1∞ 08' 58'',1,1,,,,,1.048,"1,187",,"0,350"
G055,BENZINERA,https://www.bonarea.com/benzinera/G055,23-03-21,2,"C/. BALLOBAR, 11",HUESCA,22004,E.S. bonArea Huesca G055,42.1282028,-0.416780555,42∞ 07' 41'',-0∞ 25' 00'',1,1,,1,,,1.055,"1,195",,"0,350"
G056,BENZINERA,https://www.bonarea.com/benzinera/G056,23-03-21,2,Carrer de Can Gurri s/n,Parets del Valles,8150,E.S. bon¿rea Parets del Valles G056,41.56768,2.2439,41∞ 34' 03'',2∞ 14' 38'',1,1,,,,,1.045,"1,185",," 0,35"
G058,BENZINERA,https://www.bonarea.com/benzinera/G058,23-03-21,2,"CR. N-340 KM. 1215,500",SANT CUGAT SESGARRIGUES,8798,E.S. bon¿rea S. Cugat Sesgarrigues G058,41.3557778,1.7426523,41∞ 21' 20'',1∞ 44' 33'',1,1,1,1,1,,1.045,"1,185",,"0,350"
G059,BENZINERA,https://www.bonarea.com/benzinera/G059,23-03-21,2,"POLIG. IND. FRANCOLI, 4",TARRAGONA,43006,E.S. bonArea Tarragona G059,41.1140806,1.225230556,41∞ 06' 50'',1∞ 13' 30'',1,1,,1,,,1.047,"1,187",,"0,350"
G060,BENZINERA,https://www.bonarea.com/benzinera/G060,23-03-21,2,"Avda. Goles de l'Ebre, 7",DELTEBRE,43006,E.S. bon¿rea Deltebre G060,40.7235083,0.724997222,40∞ 43' 24'',0∞ 43' 29'',1,1,,,,,1.051,"1,191",,"0,350"
G061,BENZINERA,https://www.bonarea.com/benzinera/G061,23-03-21,2,POL.IND.VALLS CRTA.DEL PLA 180,VALLS,43800,E.S. bon¿rea Valls G061,41.3043059,1.262657982,41∞ 18' 15'',1∞ 15' 45'',1,1,1,1,,,1.047,"1,187",,"0,350"
G062,BENZINERA,https://www.bonarea.com/benzinera/G062,23-03-21,2,"CR N-340, VALENCIA-BARCELONA, KM. 60,70",VILA-REAL,12540,E.S. bonArea Vila-real G062,39.949861,-0.085083,39∞ 56' 59'',-0∞ 05' 06'',1,1,,1,,,1.055,"1,195",,"0,350"
G066,BENZINERA,https://www.bonarea.com/benzinera/G066,23-03-21,2,"CAMI DEL CORRAL DE DIAGO, 4",ONDA,12200,E.S. bon¿rea Onda G066,39.95504761,-0.202266902,39∞ 57' 18'',-0∞ 12' 08'',1,1,,,,,1.055,"1,195",,"0,350"
G067,BENZINERA,https://www.bonarea.com/benzinera/G067,23-03-21,2,Carrer Fusteries 4-6,Cambrils,43850,E.S. bÚnArea Cambrils G067,41.078481,1.039547,41∞ 04' 42'',1∞ 02' 22'',1,1,,,,,1.048,"1,188",,"0,350"
G071,BENZINERA,https://www.bonarea.com/benzinera/G071,23-03-21,2,"Cr. Zaragoza, PG 29, Parce 183 (LAS ERAS)",VILLANUEVA DE GALLEGO,50830,E.S. bon¿rea Villanueva de Gallego G071,41.7774306,-0.828447222,41∞ 46' 38'',-0∞ 49' 42'',1,1,,1,,,1.056,"1,196",," 0,35"
N,BENZINERA,https://www.bonarea.com/benzinera/N,23-03-21,2,Ptda.Leseres Polig.4,ANGLESOLA,25320,E.S. bon¿rea Anglesola,41.657152,1.0792,41∞ 39' 25'',1∞ 04' 45'',,,,,,,1.048,,,
