id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
1046,box,,"Av/ Pompeu Fabra, 7",PONTS,,,41.9128275,1.1859703,41° 54' 46'',1° 11' 09'',,,,,,
1047,box,,Crta. C-14z km 100-102,ARTESA DE SEGRE,,,41.8895167,1.0498566,41° 53' 22'',1° 02' 59'',,,,,,
1060,box,,"C/ BALLOBART, 13",HUESCA,,,42.1283472,-0.4167855,42° 07' 42'',-0° 25' 00'',,,,,,
1061,box,,"CARRER DE L'ALEMANYA, 26",IGUALADA,,,41.5875626,1.6271364,41° 35' 15'',1° 37' 37'',,,,,,
1063,box,,C/ Verge de l'Horta s/n,IVARS D'URGELL,,,41.6813137,0.9911036,41° 40' 52'',0° 59' 27'',,,,,,
1064,box,,Pol. Ind Pont cremat parc 2,ARBUCIES,,,41.8104318,2.531599115,41° 48' 37'',2° 31' 53'',,,,,,
1065,box,,Pol. Ind. Els Salancons,SORT,,,42.4053237,1.129609417,42° 24' 19'',1° 07' 46'',,,,,,
1066,box,,Concepció Arenal 98,BARCELONA,,,41.422508,2.1839217,41° 25' 21'',2° 11' 02'',,,,,,
1067,box,,"Crta. De Montblanc C-240, Km 69",VERDÚ,,,41.6116895,1.1288161,41° 36' 42'',1° 07' 43'',,,,,,
1068,box,,"C/ PRINCIPAL, 66",SANT RAMON,,,41.7260759,1.3654074,41° 43' 33'',1° 21' 55'',,,,,,
1069,box,,"Avinguda Parlament, 23",TERRASSA,,,41.5813382,2.0106231,41° 34' 52'',2° 00' 38'',,,,,,
1070,box,,"Carrer Francesc Macià, 74",SANT BOI DE LLOBREGAT,,,41.339865,2.0410877,41° 20' 23'',2° 02' 27'',,,,,,
1072,box,,"Avinguda Catalunya, 42",SANTA COLOMA DE GRAMENET,,,41.4577611,2.2037803,41° 27' 27'',2° 12' 13'',,,,,,
1073,box,,"Crta. Sitges, 77",SANT PERE DE RIBES,,,41.2587967,1.7751739,41° 15' 31'',1° 46' 30'',,,,,,
1074,box,,"C/ ALEMANYA, 9-13",MATARÓ,,,41.5461984,2.4308487,41° 32' 46'',2° 25' 51'',,,,,,
1075,box,,"CARRER CALDETAS, 6",EL PRAT DE LLOBREGAT,,,41.3229069,2.0970375,41° 19' 22'',2° 05' 49'',,,,,,
1076,box,,"Carretera Nacional II, nº17",FORNELLS DE LA SELVA,,,41.934891,2.79747819,41° 56' 05'',2° 47' 50'',,,,,,
1077,box,,"C/ Conca,4",BARCELONA,,,41.4132927,2.1806074,41° 24' 47'',2° 10' 50'',,,,,,
1078,box,,"FRANCISCO VITORIA, 11",TERRASSA,,,41.5698952,2.00282619,41° 34' 11'',2° 00' 10'',,,,,,
1079,box,,"PERE BADIA,16",TORREDEMBARRA,,,41.1444584,1.4025193,41° 08' 40'',1° 24' 09'',,,,,,
1080,box,,C/ Carrilet s/n,BELLVÍS,,,41.6716415,0.817680117,41° 40' 17'',0° 49' 03'',,,,,,
