id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
"['43901', '43903', '43908', '43911']",bufet,,,,,,0,0,-0° 00' 00'',-0° 00' 00'',,,,,,
bufet,bufet,,,,,,0,0,-0° 00' 00'',-0° 00' 00'',,,,,,
