id,Fecha,Dia_Semana,latitude,longitude,minutsLatitude,minutsLongitude,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G071,23-03-21,Tuesday,41.7774306,-0.828447222,41° 46' 38'',-0° 49' 42'',1.047,1.188,,0.35
N,23-03-21,Tuesday,41.657152,1.0792,41° 39' 25'',1° 04' 45'',1.038,,,
A,24-03-21,Wednesday,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1.038,1.179,1.217,
G002,24-03-21,Wednesday,41.615747,0.648654,41° 36' 56'',0° 38' 55'',1.04,,,0.35
G004,24-03-21,Wednesday,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',1.037,1.178,,0.35
G005,24-03-21,Wednesday,41.61,1.13,41° 36' 36'',1° 07' 48'',1.038,1.179,,
G006,24-03-21,Wednesday,41.759728,1.197853,41° 45' 35'',1° 11' 52'',1.038,,,0.35
G010,24-03-21,Wednesday,41.78818,1.28653,41° 47' 17'',1° 17' 11'',1.038,,,0.35
G011,24-03-21,Wednesday,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1.044,1.185,,0.35
G013,24-03-21,Wednesday,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1.039,1.179,,0.35
G014,24-03-21,Wednesday,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1.04,1.181,,
G015,24-03-21,Wednesday,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1.038,1.179,,0.35
G016,24-03-21,Wednesday,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1.037,1.178,,0.35
G017,24-03-21,Wednesday,41.53298,0.84249,41° 31' 58'',0° 50' 32'',1.04,1.181,,0.35
G018,24-03-21,Wednesday,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1.038,1.179,,
G019,24-03-21,Wednesday,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1.038,1.178,,0.35
G020,24-03-21,Wednesday,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1.042,1.182,,
G021,24-03-21,Wednesday,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1.038,1.178,,0.35
G022,24-03-21,Wednesday,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1.039,1.18,,0.35
G024,24-03-21,Wednesday,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1.041,1.182,,
G025,24-03-21,Wednesday,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1.038,1.179,,
G026,24-03-21,Wednesday,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1.038,1.179,,0.35
G027,24-03-21,Wednesday,42.409381,1.130549,42° 24' 33'',1° 07' 49'',1.043,1.184,,
G028,24-03-21,Wednesday,41.23952,0.55105,41° 14' 22'',0° 33' 03'',1.042,1.183,,0.35
G029,24-03-21,Wednesday,41.386742,1.156869,41° 23' 12'',1° 09' 24'',1.038,1.179,,
G030,24-03-21,Wednesday,41.63032,0.91403,41° 37' 49'',0° 54' 50'',1.039,1.18,,
G031,24-03-21,Wednesday,41.084624,0.626256,41° 05' 04'',0° 37' 34'',1.041,1.182,,0.35
G032,24-03-21,Wednesday,41.85528,0.28294,41° 51' 19'',0° 16' 58'',1.043,1.184,,0.35
G033,24-03-21,Wednesday,41.664056,0.604624,41° 39' 50'',0° 36' 16'',1.04,1.181,1.219,0.35
G034,24-03-21,Wednesday,41.525054,0.367624,41° 31' 30'',0° 22' 03'',1.041,1.182,,0.35
G035,24-03-21,Wednesday,41.918749,0.186993,41° 55' 07'',0° 11' 13'',1.043,1.184,,0.35
G036,24-03-21,Wednesday,42.141187,0.929836,42° 08' 28'',0° 55' 47'',1.042,1.182,,0.35
