id,Fecha,Dia_Semana,latitude,longitude,minutsLatitude,minutsLongitude,GASOIL A,GASOLINA S/P 95,GASOLINA S/P 98,ADBLUE
G011,25-03-21,Thursday,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1.044,1.185,,0.35
G013,25-03-21,Thursday,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1.039,1.179,,0.35
G014,25-03-21,Thursday,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1.04,1.181,,
G015,25-03-21,Thursday,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1.038,1.179,,0.35
G016,25-03-21,Thursday,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1.037,1.178,,0.35
G017,25-03-21,Thursday,41.53298,0.84249,41° 31' 58'',0° 50' 32'',1.04,1.181,,0.35
G018,25-03-21,Thursday,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1.038,1.179,,
G019,25-03-21,Thursday,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1.038,1.178,,0.35
G020,25-03-21,Thursday,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1.042,1.182,,
G021,25-03-21,Thursday,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1.038,1.178,,0.35
G022,25-03-21,Thursday,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1.039,1.18,,0.35
G024,25-03-21,Thursday,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1.041,1.182,,
G025,25-03-21,Thursday,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1.038,1.179,,
G026,25-03-21,Thursday,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1.038,1.179,,0.35
G027,25-03-21,Thursday,42.409381,1.130549,42° 24' 33'',1° 07' 49'',1.043,1.184,,
G028,25-03-21,Thursday,41.23952,0.55105,41° 14' 22'',0° 33' 03'',1.042,1.183,,0.35
G029,25-03-21,Thursday,41.386742,1.156869,41° 23' 12'',1° 09' 24'',1.038,1.179,,
G030,25-03-21,Thursday,41.63032,0.91403,41° 37' 49'',0° 54' 50'',1.039,1.18,,
G031,25-03-21,Thursday,41.084624,0.626256,41° 05' 04'',0° 37' 34'',1.041,1.182,,0.35
G032,25-03-21,Thursday,41.85528,0.28294,41° 51' 19'',0° 16' 58'',1.043,1.184,,0.35
G033,25-03-21,Thursday,41.664056,0.604624,41° 39' 50'',0° 36' 16'',1.04,1.181,1.219,0.35
G034,25-03-21,Thursday,41.525054,0.367624,41° 31' 30'',0° 22' 03'',1.041,1.182,,0.35
G035,25-03-21,Thursday,41.918749,0.186993,41° 55' 07'',0° 11' 13'',1.043,1.184,,0.35
G036,25-03-21,Thursday,42.141187,0.929836,42° 08' 28'',0° 55' 47'',1.042,1.182,,0.35
G037,25-03-21,Thursday,41.562567,1.979034,41° 33' 45'',1° 58' 44'',1.035,1.176,,0.35
G038,25-03-21,Thursday,41.577437,1.656985,41° 34' 38'',1° 39' 25'',1.036,1.176,,0.35
G039,25-03-21,Thursday,40.698883,0.579255,40° 41' 55'',0° 34' 45'',1.041,1.182,,0.35
G041,25-03-21,Thursday,41.602843,1.539901,41° 36' 10'',1° 32' 23'',1.036,1.177,1.215,0.35
G042,25-03-21,Thursday,41.299974,2.008942,41° 17' 59'',2° 00' 32'',1.034,1.175,1.213,0.35
G043,25-03-21,Thursday,41.985462,1.550053,41° 59' 07'',1° 33' 00'',1.039,1.18,,0.35
G044,25-03-21,Thursday,41.007028,0.911,41° 00' 25'',0° 54' 39'',1.039,1.18,,0.35
G045,25-03-21,Thursday,41.145601,1.085197,41° 08' 44'',1° 05' 06'',1.038,1.179,,0.35
G046,25-03-21,Thursday,41.63273,-0.983963,41° 37' 57'',-0° 59' 02'',1.047,1.188,,0.35
G047,25-03-21,Thursday,41.499528,1.822028,41° 29' 58'',1° 49' 19'',1.035,1.176,,0.35
G048,25-03-21,Thursday,41.353884,2.103526,41° 21' 13'',2° 06' 12'',1.033,1.174,,0.35
G049,25-03-21,Thursday,41.430277,2.2273888,41° 25' 48'',2° 13' 38'',1.034,1.174,,0.35
G051,25-03-21,Thursday,41.710885,-1.019607,41° 42' 39'',-1° 01' 10'',1.047,1.188,,0.35
G052,25-03-21,Thursday,41.737297,1.841842,41° 44' 14'',1° 50' 30'',1.036,1.177,,0.35
G053,25-03-21,Thursday,41.365572,1.98513,41° 21' 56'',1° 59' 06'',1.034,1.175,,0.35
G054,25-03-21,Thursday,41.6524972,1.149708333,41° 39' 08'',1° 08' 58'',1.038,1.179,,0.35
G055,25-03-21,Thursday,42.1282028,-0.416780555,42° 07' 41'',-0° 25' 00'',1.046,1.186,,0.35
G056,25-03-21,Thursday,41.56768,2.2439,41° 34' 03'',2° 14' 38'',1.035,1.176,,0.35
G058,25-03-21,Thursday,41.3557778,1.7426523,41° 21' 20'',1° 44' 33'',1.035,1.176,,0.35
G059,25-03-21,Thursday,41.1140806,1.225230556,41° 06' 50'',1° 13' 30'',1.037,1.178,,0.35
G060,25-03-21,Thursday,40.7235083,0.724997222,40° 43' 24'',0° 43' 29'',1.041,1.182,,0.35
G061,25-03-21,Thursday,41.3043059,1.262657982,41° 18' 15'',1° 15' 45'',1.037,1.178,,0.35
G062,25-03-21,Thursday,39.949861,-0.085083,39° 56' 59'',-0° 05' 06'',1.046,1.186,,0.35
G066,25-03-21,Thursday,39.95504761,-0.202266902,39° 57' 18'',-0° 12' 08'',1.046,1.187,,0.35
G067,25-03-21,Thursday,41.078481,1.039547,41° 04' 42'',1° 02' 22'',1.038,1.179,,0.35
G071,25-03-21,Thursday,41.7774306,-0.828447222,41° 46' 38'',-0° 49' 42'',1.047,1.188,,0.35
N,25-03-21,Thursday,41.657152,1.0792,41° 39' 25'',1° 04' 45'',1.038,,,
A,26-03-21,Friday,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1.038,1.179,1.217,
G002,26-03-21,Friday,41.615747,0.648654,41° 36' 56'',0° 38' 55'',1.04,,,0.35
G004,26-03-21,Friday,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',1.037,1.178,,0.35
G005,26-03-21,Friday,41.61,1.13,41° 36' 36'',1° 07' 48'',1.038,1.179,,
G006,26-03-21,Friday,41.759728,1.197853,41° 45' 35'',1° 11' 52'',1.038,,,0.35
G010,26-03-21,Friday,41.78818,1.28653,41° 47' 17'',1° 17' 11'',1.038,,,0.35
G011,26-03-21,Friday,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1.044,1.185,,0.35
G013,26-03-21,Friday,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1.039,1.179,,0.35
G014,26-03-21,Friday,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1.04,1.181,,
G015,26-03-21,Friday,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1.038,1.179,,0.35
G016,26-03-21,Friday,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1.037,1.178,,0.35
G017,26-03-21,Friday,41.53298,0.84249,41° 31' 58'',0° 50' 32'',1.04,1.181,,0.35
G018,26-03-21,Friday,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1.038,1.179,,
G019,26-03-21,Friday,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1.038,1.178,,0.35
G020,26-03-21,Friday,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1.042,1.182,,
G021,26-03-21,Friday,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1.038,1.178,,0.35
G022,26-03-21,Friday,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1.039,1.18,,0.35
G024,26-03-21,Friday,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1.041,1.182,,
G025,26-03-21,Friday,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1.038,1.179,,
G026,26-03-21,Friday,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1.038,1.179,,0.35
G027,26-03-21,Friday,42.409381,1.130549,42° 24' 33'',1° 07' 49'',1.043,1.184,,
G028,26-03-21,Friday,41.23952,0.55105,41° 14' 22'',0° 33' 03'',1.042,1.183,,0.35
G029,26-03-21,Friday,41.386742,1.156869,41° 23' 12'',1° 09' 24'',1.038,1.179,,
G030,26-03-21,Friday,41.63032,0.91403,41° 37' 49'',0° 54' 50'',1.039,1.18,,
G031,26-03-21,Friday,41.084624,0.626256,41° 05' 04'',0° 37' 34'',1.041,1.182,,0.35
G032,26-03-21,Friday,41.85528,0.28294,41° 51' 19'',0° 16' 58'',1.043,1.184,,0.35
G033,26-03-21,Friday,41.664056,0.604624,41° 39' 50'',0° 36' 16'',1.04,1.181,1.219,0.35
G034,26-03-21,Friday,41.525054,0.367624,41° 31' 30'',0° 22' 03'',1.041,1.182,,0.35
G035,26-03-21,Friday,41.918749,0.186993,41° 55' 07'',0° 11' 13'',1.043,1.184,,0.35
G036,26-03-21,Friday,42.141187,0.929836,42° 08' 28'',0° 55' 47'',1.042,1.182,,0.35
G037,26-03-21,Friday,41.562567,1.979034,41° 33' 45'',1° 58' 44'',1.035,1.176,,0.35
G038,26-03-21,Friday,41.577437,1.656985,41° 34' 38'',1° 39' 25'',1.036,1.176,,0.35
G039,26-03-21,Friday,40.698883,0.579255,40° 41' 55'',0° 34' 45'',1.041,1.182,,0.35
G041,26-03-21,Friday,41.602843,1.539901,41° 36' 10'',1° 32' 23'',1.036,1.177,1.215,0.35
G042,26-03-21,Friday,41.299974,2.008942,41° 17' 59'',2° 00' 32'',1.034,1.175,1.213,0.35
G043,26-03-21,Friday,41.985462,1.550053,41° 59' 07'',1° 33' 00'',1.039,1.18,,0.35
G044,26-03-21,Friday,41.007028,0.911,41° 00' 25'',0° 54' 39'',1.039,1.18,,0.35
G045,26-03-21,Friday,41.145601,1.085197,41° 08' 44'',1° 05' 06'',1.038,1.179,,0.35
G046,26-03-21,Friday,41.63273,-0.983963,41° 37' 57'',-0° 59' 02'',1.047,1.188,,0.35
G047,26-03-21,Friday,41.499528,1.822028,41° 29' 58'',1° 49' 19'',1.035,1.176,,0.35
G048,26-03-21,Friday,41.353884,2.103526,41° 21' 13'',2° 06' 12'',1.033,1.174,,0.35
G049,26-03-21,Friday,41.430277,2.2273888,41° 25' 48'',2° 13' 38'',1.034,1.174,,0.35
G051,26-03-21,Friday,41.710885,-1.019607,41° 42' 39'',-1° 01' 10'',1.047,1.188,,0.35
G052,26-03-21,Friday,41.737297,1.841842,41° 44' 14'',1° 50' 30'',1.036,1.177,,0.35
G053,26-03-21,Friday,41.365572,1.98513,41° 21' 56'',1° 59' 06'',1.034,1.175,,0.35
G054,26-03-21,Friday,41.6524972,1.149708333,41° 39' 08'',1° 08' 58'',1.038,1.179,,0.35
G055,26-03-21,Friday,42.1282028,-0.416780555,42° 07' 41'',-0° 25' 00'',1.046,1.186,,0.35
G056,26-03-21,Friday,41.56768,2.2439,41° 34' 03'',2° 14' 38'',1.035,1.176,,0.35
G058,26-03-21,Friday,41.3557778,1.7426523,41° 21' 20'',1° 44' 33'',1.035,1.176,,0.35
G059,26-03-21,Friday,41.1140806,1.225230556,41° 06' 50'',1° 13' 30'',1.037,1.178,,0.35
G060,26-03-21,Friday,40.7235083,0.724997222,40° 43' 24'',0° 43' 29'',1.041,1.182,,0.35
G061,26-03-21,Friday,41.3043059,1.262657982,41° 18' 15'',1° 15' 45'',1.037,1.178,,0.35
G062,26-03-21,Friday,39.949861,-0.085083,39° 56' 59'',-0° 05' 06'',1.046,1.186,,0.35
G066,26-03-21,Friday,39.95504761,-0.202266902,39° 57' 18'',-0° 12' 08'',1.046,1.187,,0.35
G067,26-03-21,Friday,41.078481,1.039547,41° 04' 42'',1° 02' 22'',1.038,1.179,,0.35
G071,26-03-21,Friday,41.7774306,-0.828447222,41° 46' 38'',-0° 49' 42'',1.047,1.188,,0.35
N,26-03-21,Friday,41.657152,1.0792,41° 39' 25'',1° 04' 45'',1.038,,,
A,27-03-21,Saturday,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1.038,1.179,1.217,
G002,27-03-21,Saturday,41.615747,0.648654,41° 36' 56'',0° 38' 55'',1.04,,,0.35
G004,27-03-21,Saturday,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',1.037,1.178,,0.35
G005,27-03-21,Saturday,41.61,1.13,41° 36' 36'',1° 07' 48'',1.038,1.179,,
G006,27-03-21,Saturday,41.759728,1.197853,41° 45' 35'',1° 11' 52'',1.038,,,0.35
G010,27-03-21,Saturday,41.78818,1.28653,41° 47' 17'',1° 17' 11'',1.038,,,0.35
G011,27-03-21,Saturday,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1.044,1.185,,0.35
G013,27-03-21,Saturday,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1.039,1.179,,0.35
G014,27-03-21,Saturday,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1.04,1.181,,
G015,27-03-21,Saturday,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1.038,1.179,,0.35
G016,27-03-21,Saturday,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1.037,1.178,,0.35
G017,27-03-21,Saturday,41.53298,0.84249,41° 31' 58'',0° 50' 32'',1.04,1.181,,0.35
G018,27-03-21,Saturday,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1.038,1.179,,
G019,27-03-21,Saturday,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1.038,1.178,,0.35
G020,27-03-21,Saturday,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1.042,1.182,,
G021,27-03-21,Saturday,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1.038,1.178,,0.35
G022,27-03-21,Saturday,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1.039,1.18,,0.35
G024,27-03-21,Saturday,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1.041,1.182,,
G025,27-03-21,Saturday,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1.038,1.179,,
G026,27-03-21,Saturday,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1.038,1.179,,0.35
